9352217,29.728486,-95.504608,9375,2470,93375,9.96,186460,75.4898785425,289467.0,0,0,0,0,0,1966,0,0,0,0,0,0,0,0,1,0.139006769001,1,0,0,275000
5640454,29.804911,-95.402129,4366,2339,87320,20.0,242203,103.54980761,337473.0,0,0,0,0,0,2003,0,0,1,0,0,0,0,0,0,0.0548949110392,0,0,0,418000
3456105,29.683072,-95.368199,5000,572,15000,3.0,17063,29.8304195804,40940.0,0,0,0,0,0,1940,0,1,0,0,0,0,0,0,0,0.0777655233699,0,0,0,15000
3953142,29.702607,-95.456306,10800,1320,245700,22.75,5708,4.32424242424,252786.0,1,0,0,0,0,1949,0,0,0,0,0,1,0,0,0,0.104592336913,0,0,0,318500
7406853,29.867736,-95.337406,6100,1755,16638,2.72754098361,133748,76.2096866097,150386.0,1,0,0,0,0,2001,0,0,0,1,0,0,0,0,0,0.111597314323,1,0,0,93900
6063020,29.720198,-95.423534,6090,2903,396900,65.1724137931,106313,36.6217705822,448203.0,0,0,0,0,0,1935,0,0,0,0,0,1,0,0,0,0.0676724081439,0,0,0,690000
1544844,29.76284,-95.418462,2000,2598,84000,42.0,186000,71.5935334873,270000.0,0,0,0,0,0,2001,1,0,0,0,1,0,0,0,0,0.0490872515018,0,0,0,327500
3199541,29.727137,-95.411376,5000,1833,290000,58.0,87300,47.6268412439,377300.0,0,0,0,0,0,1942,1,0,0,0,0,1,0,0,0,0.0538119418066,0,0,0,435750
9948269,29.814357,-95.437987,7020,1402,63180,9.0,74930,53.4450784593,142256.0,0,0,0,0,0,1958,1,0,1,0,0,0,0,0,0,0.0869904355777,0,0,0,142000
5646710,29.64251,-95.486599,8640,1707,51480,5.95833333333,69587,40.7656707674,122023.0,0,0,0,0,0,1960,0,0,0,0,0,0,1,0,0,0.166526288054,0,0,0,105000
5638021,29.800677,-95.389297,5000,1707,187500,37.5,149245,87.4311657879,338105.0,0,0,0,0,0,1929,0,0,1,0,0,0,0,0,0,0.0445330996226,0,0,0,350000
8213501,29.734052,-95.533964,8510,1641,74520,8.75675675676,91576,55.8049969531,159533.0,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,1,0.16671232252,1,0,1,141000
3686171,29.649032,-95.551102,7710,1818,21415,2.7775616083,99728,54.8558855886,121480.0,0,0,0,0,0,1972,0,0,0,0,0,0,1,0,0,0.213326388926,0,0,0,124000
8497108,29.645668,-95.497528,14706,1639,64778,4.40486876105,38022,23.1982916412,102800.0,0,0,1,0,0,1960,1,0,0,0,0,0,1,0,0,0.172262909949,0,0,0,118900
2114169,29.699848,-95.448206,5000,2951,200000,40.0,248000,84.0393087089,448000.0,0,0,0,0,0,1991,1,0,0,0,0,1,0,0,0,0.0996314433299,0,0,0,506950
6327814,29.721576,-95.408437,6175,3113,408625,66.1740890688,105658,33.9408930292,514283.0,0,0,0,0,0,1938,1,0,0,0,0,1,0,0,0,0.055347610111,0,0,0,728000
7377024,29.648595,-95.504539,3680,1440,5630,1.52989130435,74032,51.4111111111,85706.0,0,0,0,0,0,1981,0,0,0,0,0,0,1,0,0,0.175654409048,0,0,0,90000
